code_insee_com,nom_com,niveau_vie_median_2021,nb_logements_2022,Pourcentage_appartements_2022,pourcentage_locataires_dans_résidence_principale_2022,evolution_annuelle_moy_de_la_population_entre_2017_et_ 2023_en_pourcentage,population_municipale_2023,Taux_activite_tranche_15-64_en_2022
64395,Monségur,19260,76,1.3,6.8,0.88,136,77.6
64396,Mont,23720,501,1.8,15.4,0.32,1146,80
64397,Montagut,21630,65,0,13.2,0,116,76.3
64398,Montaner,22990,231,7.2,12.2,-0.95,408,83.1
64399,Montardon,26580,1062,8.5,15.8,0.84,2419,76.7
64400,Montaut,22660,554,6.5,15.7,0.15,1120,79.5
64401,Mont-Disse,N/A - secret statistique,44,2.3,18.9,1.98,81,78.6
64403,Montfort,19450,95,3.1,10.1,1.34,196,68.3
64404,Montory,21750,235,11.8,10.5,0.64,318,72.9
64405,Morlaàs,24860,2083,18.9,33.7,0.35,4374,77.7
64406,Morlanne,22740,274,2.7,13,0.56,611,80.4
64407,Mouguerre,25560,2467,23.8,24.3,1.02,5428,77.3
64408,Mouhous,N/A - secret statistique,33,5.2,17.6,4.68,75,77.6
64409,Moumour,24200,401,3.2,13.6,-0.54,814,77.5
64410,Mourenx,18900,3435,62.7,57.7,-2.14,5695,69.6
64411,Musculdy,19700,121,7,10.1,-1.16,220,74.1
64412,Nabas,N/A - secret statistique,61,4.8,13.6,-4.53,81,66
64413,Narcastet,24070,342,12.8,15.9,-0.02,753,80.3
64414,Narp,19520,58,0,14,1.29,122,72.1
64415,Navailles-Angos,25280,681,4.2,17,0.26,1545,78.6
64416,Navarrenx,21230,656,37.7,40.4,-0.14,1042,74.1
64417,Nay,22060,1876,45,41.7,-0.53,3184,73.8
64418,Noguères,20600,68,1,12.1,-2.4,121,68.4
64419,Nousty,25240,643,4.9,17.1,-0.38,1572,76.1
64420,Ogenne-Camptort,22230,128,1.6,12.3,-0.27,241,80.5
64421,Ogeu-les-Bains,23830,636,3.1,12,0.01,1290,76.7
64422,Oloron-Sainte-Marie,20960,6818,52.8,45.6,0,10684,74.5
64423,Oraàs,22320,105,1.9,13.5,0.74,184,69.8
64424,Ordiarp,20860,277,13.9,11.2,0.62,547,84.2
64425,Orègue,19250,252,10,12.6,1.52,531,78.5
64426,Orin,23430,135,2.8,8.6,1.85,269,82.9
64427,Orion,23250,89,2.2,15.1,0.46,148,84.6
64428,Orriule,20820,73,1.4,11.9,0.99,140,84.1
64429,Orsanco,N/A - secret statistique,57,5.3,11.1,-1.25,102,80.7
64430,Orthez,22050,6344,45.4,40.2,0.68,10881,73.1
64431,Os-Marsillon,24470,227,2.7,13.4,0.43,547,78.3
64432,Ossas-Suhare,N/A - secret statistique,67,2.9,14.3,1.34,91,83.3
64433,Osse-en-Aspe,20600,244,3,20.7,0.25,330,68
64434,Ossenx,N/A - secret statistique,30,3.6,27.3,-0.32,51,77.4
64435,Osserain-Rivareyte,22790,146,9.7,20.7,1.73,235,79
64436,Ossès,21150,470,23.4,25.1,0.84,878,80.5
64437,Ostabat-Asme,21490,118,12.7,16.5,2.58,226,77.6
64438,Ouillon,25600,232,0.4,8.9,0.03,553,79.4
64439,Ousse,27840,712,3.6,9.1,0.11,1672,78
64440,Ozenx-Montestrucq,24570,201,0.5,6.7,-0.44,372,79.1
64441,Pagolle,20220,124,15.3,16.8,-0.98,246,83.1
64442,Parbayse,25380,137,0.7,7,-0.16,316,81.2
64443,Pardies,22920,460,7,17.8,1.53,930,74.8
64444,Pardies-Piétat,24870,199,3.1,10.5,-0.53,434,78
64445,Pau,20970,54111,82.9,60.5,0.7,80441,69.9
64446,Peyrelongue-Abos,22780,82,2.6,9.1,-1.26,139,74.4
64447,Piets-Plasence-Moustrou,20980,67,1.5,5.4,-0.73,133,70
64448,Poey-de-Lescar,26170,816,3.2,15.9,2.11,1876,80.1
64449,Poey-d'Oloron,21860,85,1.2,10.3,-0.3,163,83.3
64450,Pomps,22560,127,2.1,9.4,0.29,295,82.5
64451,Ponson-Debat-Pouts,N/A - secret statistique,48,0,2.6,-0.18,94,83.9
64452,Ponson-Dessus,25120,124,7.7,13.3,0.19,261,77.6
64453,Pontacq,22720,1374,16.4,23.7,-0.06,2925,77.8
64454,Pontiacq-Viellepinte,24750,93,6.7,17.8,-1.31,170,78.7
64455,Portet,18980,111,2.7,9.8,-0.8,161,77.3
64456,Pouliacq,N/A - secret statistique,26,4,4.3,-1.61,49,97.1
64457,Poursiugues-Boucoue,22640,98,6.1,9.6,-0.62,183,77.4
64458,Préchacq-Josbaig,23780,154,6.9,8.9,0.34,299,80
64459,Préchacq-Navarrenx,22540,85,2.4,13,1.27,178,75.8
64460,Précilhon,23970,191,1.6,9,0.33,409,77.2
64461,Puyoô,19580,598,14.4,28.9,-0.84,1077,71.1
64462,Ramous,20290,231,6.7,16.2,-0.86,470,71.5
64463,Rébénacq,22910,341,8.2,16.9,-1.08,639,78.8
64464,Ribarrouy,N/A - secret statistique,36,0,24.3,-0.82,79,79.2
64465,Riupeyrous,24740,100,1,11,1.93,240,73.6
64466,Rivehaute,21490,145,11.6,29.7,0.56,271,77.9
64467,Rontignon,26560,371,5.5,14.9,0.82,875,72
64468,Roquiague,19630,68,20.7,11.3,0.28,121,75
64469,Saint-Abit,25080,133,8.1,14.8,-1.25,294,74.3
64470,Saint-Armou,24870,280,0,6.9,-0.72,609,84.9
64471,Saint-Boès,23830,190,3.6,12.1,0.4,376,78
64472,Saint-Castin,27140,358,2.3,7,-0.49,862,76.8
64473,Sainte-Colome,21860,209,9.4,14.4,-0.09,354,76.8
64474,Saint-Dos,21780,90,3.3,8.5,0,160,83.3
64475,Sainte-Engrâce,16900,173,7.5,4.8,-2.19,169,80.2
64476,Saint-Esteben,21070,210,19.5,17,1.22,442,81.4
64477,Saint-Étienne-de-Baïgorry,21770,922,23.9,25.3,0.56,1527,79.7
64478,Saint-Faust,26520,351,3.8,14.5,-0.18,738,75.8
64479,Saint-Girons-en-Béarn,20880,92,0,12.3,2.87,186,73.5
64480,Saint-Gladie-Arrive-Munein,23120,107,5.6,27.4,-0.59,193,84.5
64481,Saint-Goin,23000,123,5.1,28.2,-0.81,219,77.8
64482,Saint-Jammes,27670,253,1.6,8,0.37,642,69.9
64483,Saint-Jean-de-Luz,23390,14742,79.7,48.7,0.88,14857,74.2
64484,Saint-Jean-le-Vieux,22340,535,18.8,28.2,0.98,900,77.1
64485,Saint-Jean-Pied-de-Port,22140,1039,55.8,43.6,-1.17,1479,75.5
64486,Saint-Jean-Poudge,N/A - secret statistique,41,0,13.9,1.33,79,67.9
64487,Saint-Just-Ibarre,22000,134,14.4,8.4,-2.04,197,76.7
